diseaseClasses_MSH,diseaseName,diseaseType,diseaseUMLSCUI,disease_inheritance,disease_prevalence_class,disease_prevalence_geo_area,disease_prevalence_type,geneNcbiID,geneNcbiType,geneProteinClassNames,score,symbolOfGene,MSH,MSH_normalised_name
"[Immune System Diseases (C20), Neoplasms (C04), Hemic and Lymphatic Diseases (C15)]",T-Cell Lymphoma,disease,C0079772,,1-9 / 1 000 000,Europe,Annual incidence,207.0,protein-coding,[Kinase],0.65,AKT1,D016399,"Lymphoma, T-Cell"
[Digestive System Diseases (C06)],Nonalcoholic steatohepatitis,disease,C3241937,,,,,207.0,protein-coding,[Kinase],0.65,AKT1,D065626,Non-alcoholic Fatty Liver Disease
"[Digestive System Diseases (C06), Neoplasms (C04), Endocrine System Diseases (C19)]",Pancreatic Neoplasm,disease,C0030297,,,,,207.0,protein-coding,[Kinase],0.65,AKT1,D010190,Pancreatic Neoplasms
"[Urogenital Diseases (C12), Neoplasms (C04)]",Bladder Neoplasm,disease,C0005695,,,,,207.0,protein-coding,[Kinase],0.6,AKT1,D001749,Urinary Bladder Neoplasms
[Mental Disorders (F03)],Mood Disorders,disease,C0525045,,,,,207.0,protein-coding,[Kinase],0.6,AKT1,D019964,Mood Disorders
"[Pathological Conditions, Signs and Symptoms (C23), Nervous System Diseases (C10)]",Muscular Atrophy,phenotype,C0026846,,,,,207.0,protein-coding,[Kinase],0.6,AKT1,D009133,Muscular Atrophy
"[Congenital, Hereditary, and Neonatal Diseases and Abnormalities (C16), Neoplasms (C04)]","Hamartoma Syndrome, Multiple",disease,C0018553,Autosomal dominant,1-9 / 1 000 000,Netherlands,Point prevalence,207.0,protein-coding,[Kinase],0.6,AKT1,D006223,"Hamartoma Syndrome, Multiple"
"[Infections (C01), Respiratory Tract Diseases (C08)]","Tuberculosis, Pulmonary",disease,C0041327,,,,,207.0,protein-coding,[Kinase],0.55,AKT1,D014397,"Tuberculosis, Pulmonary"
"[Pathological Conditions, Signs and Symptoms (C23), Psychological Phenomena (F02)]",Pain,phenotype,C0030193,,,,,207.0,protein-coding,[Kinase],0.5,AKT1,D010146,Pain
"[Pathological Conditions, Signs and Symptoms (C23)]",Fibrosis,phenotype,C0016059,,,,,207.0,protein-coding,[Kinase],0.5,AKT1,D005355,Fibrosis
"[Skin and Connective Tissue Diseases (C17), Neoplasms (C04)]","Breast Cancer, Familial",disease,C0346153,"Autosomal dominant,Multigenic/multifactorial",,,,207.0,protein-coding,[Kinase],0.5,AKT1,C562840,"Breast Cancer, Familial"
"[Mental Disorders (F03), Chemically-Induced Disorders (C25)]",Marijuana Abuse,disease,C0024809,,,,,207.0,protein-coding,[Kinase],0.5,AKT1,D002189,Marijuana Abuse
"[Cardiovascular Diseases (C14), Nutritional and Metabolic Diseases (C18)]",Aortic valve calcification,disease,C0428791,,,,,207.0,protein-coding,[Kinase],0.5,AKT1,C562942,"Aortic Valve, Calcification of"
"[Pathological Conditions, Signs and Symptoms (C23), Cardiovascular Diseases (C14)]",Cardiomegaly,phenotype,C0018800,,,,,207.0,protein-coding,[Kinase],0.45,AKT1,D006332,Cardiomegaly
[Mental Disorders (F03)],"Depression, Bipolar",disease,C0005587,,,,,207.0,protein-coding,[Kinase],0.45,AKT1,D001714,Bipolar Disorder
[Mental Disorders (F03)],"Bipolar I disorder, most recent episode manic (disorder)",disease,C0024713,,,,,207.0,protein-coding,[Kinase],0.45,AKT1,D001714,Bipolar Disorder
"[Congenital, Hereditary, and Neonatal Diseases and Abnormalities (C16), Digestive System Diseases (C06), Neoplasms (C04)]",Adenomatous Polyposis Coli,disease,C0032580,"Autosomal dominant,Autosomal recessive","1-9 / 100 000,1-5 / 10 000,1-9 / 100 000,1-9 / 100 000,1-9 / 100 000,1-5 / 10 000,1-9 / 100 000,1-5 / 10 000,1-9 / 100 000,1-9 / 1 000 000,1-9 / 100 000","Europe,Denmark,Denmark,Sweden,Sweden,Finland,Finland,United Kingdom,United Kingdom,Australia,Australia","Point prevalence,Annual incidence,Point prevalence,Annual incidence,Point prevalence,Annual incidence,Point prevalence,Prevalence at birth,Point prevalence,Annual incidence,Point prevalence",207.0,protein-coding,[Kinase],0.4,AKT1,D011125,Adenomatous Polyposis Coli
[Digestive System Diseases (C06)],Fatty Liver,disease,C0015695,,,,,207.0,protein-coding,[Kinase],0.4,AKT1,D005234,Fatty Liver
[Cardiovascular Diseases (C14)],"Myocardial Diseases, Secondary",disease,C0036529,,,,,207.0,protein-coding,[Kinase],0.4,AKT1,D009202,Cardiomyopathies
"[Mental Disorders (F03), Chemically-Induced Disorders (C25)]",Cannabis Abuse,disease,C0006868,,,,,207.0,protein-coding,[Kinase],0.4,AKT1,D002189,Marijuana Abuse
[Nutritional and Metabolic Diseases (C18)],Hypertriglyceridemia,disease,C0020557,,,,,207.0,protein-coding,[Kinase],0.4,AKT1,D015228,Hypertriglyceridemia
"[Neoplasms (C04), Hemic and Lymphatic Diseases (C15)]",Acute Promyelocytic Leukemia,disease,C0023487,Not applicable,"1-9 / 1 000 000,1-9 / 1 000 000,1-9 / 1 000 000","United States,Europe,France","Annual incidence,Annual incidence,Annual incidence",207.0,protein-coding,[Kinase],0.4,AKT1,D015473,"Leukemia, Promyelocytic, Acute"
[Cardiovascular Diseases (C14)],Cardiomyopathies,disease,C0878544,,,,,207.0,protein-coding,[Kinase],0.4,AKT1,D009202,Cardiomyopathies
"[Digestive System Diseases (C06), Chemically-Induced Disorders (C25)]","Fatty Liver, Alcoholic",disease,C0015696,,,,,207.0,protein-coding,[Kinase],0.4,AKT1,D005235,"Fatty Liver, Alcoholic"
[Neoplasms (C04)],Malignant Squamous Cell Neoplasm,disease,C0751688,,,,,207.0,protein-coding,[Kinase],0.4,AKT1,D018307,"Neoplasms, Squamous Cell"
[Cardiovascular Diseases (C14)],Primary cardiomyopathy,disease,C0033141,,,,,207.0,protein-coding,[Kinase],0.4,AKT1,D009202,Cardiomyopathies
"[Digestive System Diseases (C06), Pathological Conditions, Signs and Symptoms (C23)]",Hepatomegaly,phenotype,C0019209,,,,,207.0,protein-coding,[Kinase],0.4,AKT1,D006529,Hepatomegaly
[Nervous System Diseases (C10)],Parkinson Disease,disease,C0030567,,,,,11315.0,protein-coding,[Enzyme],1.0,PARK7,D010300,Parkinson Disease
[Nervous System Diseases (C10)],Parkinsonian Disorders,disease,C0242422,,,,,11315.0,protein-coding,[Enzyme],0.85,PARK7,D020734,Parkinsonian Disorders
[Nervous System Diseases (C10)],"PARKINSON DISEASE 7, AUTOSOMAL RECESSIVE EARLY-ONSET",disease,C1853445,,,,,11315.0,protein-coding,[Enzyme],0.85,PARK7,C565238,"Parkinson Disease 7, Autosomal Recessive Early-Onset"
"[Pathological Conditions, Signs and Symptoms (C23)]",Nerve Degeneration,phenotype,C0027746,,,,,11315.0,protein-coding,[Enzyme],0.75,PARK7,D009410,Nerve Degeneration
"[Neoplasms (C04), Digestive System Diseases (C06)]",Liver carcinoma,disease,C2239176,Not applicable,"1-9 / 100 000,1-5 / 10 000,1-9 / 100 000,1-9 / 100 000,1-9 / 100 000,1-9 / 100 000,1-9 / 100 000,1-5 / 10 000,1-9 / 100 000,1-9 / 100 000,1-5 / 10 000,1-5 / 10 000,1-5 / 10 000,1-5 / 10 000,6-9 / 10 000,1-5 / 10 000,1-9 / 100 000,1-9 / 100 000,1-9 / 100 000,1-9 / 100 000,1-9 / 100 000,1-9 / 100 000,1-9 / 100 000,1-9 / 100 000,1-9 / 100 000,1-9 / 100 000,1-9 / 100 000,1-9 / 100 000,1-9 / 100 000,1-9 / 1 000 000,1-9 / 100 000,1-9 / 100 000,1-9 / 100 000,1-9 / 100 000","United States,Europe,France,United Kingdom,Germany,Spain,Italy,Greece,Canada,Oceania,Latin America,China,Japan,Korea, Republic of,Mongolia,Africa,Europe,Austria,Belgium,Bulgaria,Croatia,Czech Republic,Estonia,Finland,Iceland,Ireland,Latvia,Lithuania,Norway,Poland,Portugal,Slovakia,Switzerland,Netherlands","Annual incidence,Point prevalence,Annual incidence,Annual incidence,Annual incidence,Annual incidence,Annual incidence,Annual incidence,Annual incidence,Annual incidence,Annual incidence,Annual incidence,Annual incidence,Annual incidence,Annual incidence,Annual incidence,Annual incidence,Annual incidence,Annual incidence,Annual incidence,Annual incidence,Annual incidence,Annual incidence,Annual incidence,Annual incidence,Annual incidence,Annual incidence,Annual incidence,Annual incidence,Annual incidence,Annual incidence,Annual incidence,Annual incidence,Annual incidence",11315.0,protein-coding,[Enzyme],0.7,PARK7,D006528,"Carcinoma, Hepatocellular"
"[Pathological Conditions, Signs and Symptoms (C23), Nervous System Diseases (C10), Cardiovascular Diseases (C14)]",Cerebral Infarction,disease,C0007785,,,,,11315.0,protein-coding,[Enzyme],0.7,PARK7,D002544,Cerebral Infarction
[Nervous System Diseases (C10)],Motor Neuron Disease,disease,C0085084,,,,,11315.0,protein-coding,[Enzyme],0.55,PARK7,D016472,Motor Neuron Disease
[Nervous System Diseases (C10)],"Parkinson Disease 6, Autosomal Recessive Early-Onset",disease,C1853833,,,,,11315.0,protein-coding,[Enzyme],0.4,PARK7,C565276,"Parkinson Disease 6, Autosomal Recessive Early-Onset"
"[Digestive System Diseases (C06), Chemically-Induced Disorders (C25)]",Chemical and Drug Induced Liver Injury,disease,C4277682,,,,,11315.0,protein-coding,[Enzyme],0.4,PARK7,D056486,Chemical and Drug Induced Liver Injury
"[Pathological Conditions, Signs and Symptoms (C23)]",Reticulocytosis,phenotype,C0206160,,,,,11315.0,protein-coding,[Enzyme],0.4,PARK7,D045262,Reticulocytosis
[Digestive System Diseases (C06)],Necrotizing Enterocolitis,disease,C0520459,Not applicable,1-5 / 10 000,Worldwide,Point prevalence,11315.0,protein-coding,[Enzyme],0.4,PARK7,D020345,"Enterocolitis, Necrotizing"
"[Musculoskeletal Diseases (C05), Nutritional and Metabolic Diseases (C18)]",Osteoporosis,disease,C0029456,,,,,11315.0,protein-coding,[Enzyme],0.4,PARK7,D010024,Osteoporosis
"[Pathological Conditions, Signs and Symptoms (C23), Nervous System Diseases (C10), Cardiovascular Diseases (C14)]","Infarction, Middle Cerebral Artery",disease,C0740392,,,,,11315.0,protein-coding,[Enzyme],0.4,PARK7,D020244,"Infarction, Middle Cerebral Artery"
[Nervous System Diseases (C10)],Juvenile Parkinson's disease,disease,C0752105,,,,,11315.0,protein-coding,[Enzyme],0.4,PARK7,D020734,Parkinsonian Disorders
"[Nutritional and Metabolic Diseases (C18), Nervous System Diseases (C10)]","Amyotrophic lateral sclerosis, parkinsonism, dementia complex (disorder)",disease,C0543859,,,,,11315.0,protein-coding,[Enzyme],0.4,PARK7,D000690,Amyotrophic Lateral Sclerosis
"[Nutritional and Metabolic Diseases (C18), Congenital, Hereditary, and Neonatal Diseases and Abnormalities (C16)]",Deficiency of aromatic-L-amino-acid decarboxylase,disease,C1291564,Autosomal recessive,<1 / 1 000 000,Worldwide,Point prevalence,1644.0,protein-coding,[],1.0,DDC,C537437,Aromatic amino acid decarboxylase deficiency
[Nervous System Diseases (C10)],Parkinson Disease,disease,C0030567,,,,,1644.0,protein-coding,[],0.95,DDC,D010300,Parkinson Disease
[Mental Disorders (F03)],Bipolar Disorder,disease,C0005586,,,,,1644.0,protein-coding,[],0.7,DDC,D001714,Bipolar Disorder
[Nervous System Diseases (C10)],Parkinsonian Disorders,disease,C0242422,,,,,1644.0,protein-coding,[],0.65,DDC,D020734,Parkinsonian Disorders
"[Mental Disorders (F03), Chemically-Induced Disorders (C25)]",Nicotine Dependence,disease,C0028043,,,,,1644.0,protein-coding,[],0.65,DDC,D014029,Tobacco Use Disorder
[Neoplasms (C04)],Pheochromocytoma,disease,C0031511,,,,,1644.0,protein-coding,[],0.6,DDC,D010673,Pheochromocytoma
[Mental Disorders (F03)],Major Depressive Disorder,disease,C1269683,,,,,1644.0,protein-coding,[],0.6,DDC,D003865,"Depressive Disorder, Major"
"[Congenital, Hereditary, and Neonatal Diseases and Abnormalities (C16), Mental Disorders (F03)]",MAJOR AFFECTIVE DISORDER 2,disease,C1839839,,,,,1644.0,protein-coding,[],0.6,DDC,C564108,Major Affective Disorder 2
[Mental Disorders (F03)],Unipolar Depression,disease,C0041696,,,,,1644.0,protein-coding,[],0.5,DDC,D003866,Depressive Disorder
"[Nutritional and Metabolic Diseases (C18), Congenital, Hereditary, and Neonatal Diseases and Abnormalities (C16)]",Inborn Errors of Metabolism,disease,C0025521,,,,,1644.0,protein-coding,[],0.45,DDC,D008661,"Metabolism, Inborn Errors"
[Mental Disorders (F03)],"Bipolar I disorder, most recent episode manic (disorder)",disease,C0024713,,,,,1644.0,protein-coding,[],0.45,DDC,D001714,Bipolar Disorder
[Mental Disorders (F03)],"Depression, Bipolar",disease,C0005587,,,,,1644.0,protein-coding,[],0.45,DDC,D001714,Bipolar Disorder
"[Pathological Conditions, Signs and Symptoms (C23)]",Nerve Degeneration,phenotype,C0027746,,,,,1644.0,protein-coding,[],0.4,DDC,D009410,Nerve Degeneration
[Mental Disorders (F03)],Mental disorders,disease,C0004936,,,,,1644.0,protein-coding,[],0.4,DDC,D001523,Mental Disorders
[Neoplasms (C04)],Extraadrenal pheochromocytoma,disease,C1257877,,,,,1644.0,protein-coding,[],0.4,DDC,D010673,Pheochromocytoma
